MONTH,REVENUES
2015M02,1.9
2015M03,5.0
2015M04,3.7
2015M05,5.2
2015M06,4.3
2015M07,5.7
2015M08,5.3
2015M09,5.4
2015M10,7.3
2015M11,5.6
2015M12,6.4
2016M01,7.6
2016M02,10.5
2016M03,8.9
2016M04,3.8
2016M05,5.9
2016M06,8.5
2016M07,8.8
2016M08,6.2
2016M09,8.2
2016M10,6.6
2016M11,6.5
2016M12,6.0
2017M01,3.3
2017M02,3.4
2017M03,2.0
2017M04,12.1
2017M05,4.7
2017M06,8.0
2017M07,4.4
2017M08,3.5
2017M09,5.0
2017M10,3.1
2017M11,3.9
2017M12,3.5
2018M01,3.4
2018M02,2.8
2018M03,6.0
2018M04,-2.9
2018M05,3.3
2018M06,1.3
2018M07,1.3
2018M08,1.4
2018M09,1.8
2018M10,2.5
2018M11,4.0
2018M12,6.0
2019M01,4.4
2019M02,4.1
2019M03,3.9
2019M04,6.3
2019M05,2.9
2019M06,5.6
2019M07,4.0
2019M08,3.6
2019M09,1.4
2019M10,0.6
2019M11,4.0
2019M12,3.0
2020M01,3.6
2020M02,6.1
2020M03,-57.8
2020M04,-94.5
2020M05,-87.2
2020M06,-64.9
2020M07,-47.2
2020M08,-41.4
2020M09,-48.9
2020M10,-52.4
2020M11,-59.8
2020M12,-52.9
