date,madrid,barcelone,tenerife,bilbao,formentera,majorque
2016-04-10,46,21,35,22,9,49
2016-04-17,28,19,31,19,19,49
2016-04-24,46,14,38,16,14,52
2016-05-01,53,14,28,13,18,59
2016-05-08,28,15,28,13,15,44
2016-05-15,20,12,25,12,11,55
2016-05-22,37,14,27,15,13,48
2016-05-29,28,11,28,12,14,53
2016-06-05,16,10,28,11,16,48
2016-06-12,14,11,24,10,16,50
2016-06-19,14,14,28,8,21,51
2016-06-26,14,11,28,10,16,62
2016-07-03,17,12,29,16,10,57
2016-07-10,19,13,31,15,33,62
2016-07-17,17,14,33,17,28,67
2016-07-24,24,14,37,17,37,67
2016-07-31,20,18,46,18,26,69
2016-08-07,19,17,33,20,30,57
2016-08-14,18,16,31,21,16,57
2016-08-21,21,11,32,16,17,55
2016-08-28,16,10,33,20,19,43
2016-09-04,17,10,42,14,10,39
2016-09-11,22,10,28,14,16,34
2016-09-18,23,10,30,14,10,46
2016-09-25,23,10,33,12,8,36
2016-10-02,19,10,35,11,8,30
2016-10-09,17,8,25,15,7,31
2016-10-16,21,13,33,13,8,30
2016-10-23,21,11,30,18,5,25
2016-10-30,20,11,28,11,1,20
2016-11-06,15,8,37,10,1,19
2016-11-13,19,6,28,8,5,14
2016-11-20,22,8,29,10,1,11
2016-11-27,31,13,25,8,3,10
2016-12-04,22,8,38,9,4,12
2016-12-11,23,9,31,16,4,14
2016-12-18,23,10,30,15,5,19
2016-12-25,17,10,38,12,5,21
2017-01-01,20,10,51,18,8,31
2017-01-08,21,10,46,19,7,31
2017-01-15,23,9,51,10,8,37
2017-01-22,20,10,45,11,5,31
2017-01-29,19,12,40,10,6,34
2017-02-05,21,14,48,11,6,35
2017-02-12,34,39,55,12,10,46
2017-02-19,23,14,45,15,10,45
2017-02-26,30,16,43,15,5,42
2017-03-05,30,71,44,12,36,45
2017-03-12,26,16,39,17,22,47
2017-03-19,19,13,43,13,11,53
2017-03-26,18,12,46,10,12,51
2017-04-02,26,15,40,14,20,54
2017-04-09,38,21,40,20,11,55
2017-04-16,45,21,40,13,15,57
2017-04-23,41,20,29,14,8,49
2017-04-30,41,14,30,15,13,67
2017-05-07,49,11,35,14,16,51
2017-05-14,33,12,27,15,79,59
2017-05-21,31,14,27,15,23,48
2017-05-28,42,10,27,14,12,46
2017-06-04,29,11,35,10,13,56
2017-06-11,20,10,30,11,16,60
2017-06-18,17,10,40,9,21,76
2017-06-25,16,11,33,12,21,59
2017-07-02,16,11,30,17,17,64
2017-07-09,17,13,44,16,23,69
2017-07-16,17,15,48,20,24,75
2017-07-23,23,18,34,15,23,69
2017-07-30,23,23,49,19,25,89
2017-08-06,29,23,42,29,37,81
2017-08-13,46,100,46,22,24,67
2017-08-20,25,26,41,18,25,70
2017-08-27,21,16,42,15,21,59
2017-09-03,19,10,47,11,12,43
2017-09-10,25,13,35,15,15,50
2017-09-17,30,11,36,18,6,39
2017-09-24,26,10,38,15,8,35
2017-10-01,19,11,38,13,12,32
2017-10-08,22,10,36,13,8,26
2017-10-15,27,11,45,14,8,27
2017-10-22,24,10,39,19,8,29
2017-10-29,32,10,39,10,5,22
2017-11-05,17,8,41,11,4,16
2017-11-12,19,7,35,10,5,13
2017-11-19,25,9,35,12,3,17
2017-11-26,22,9,31,15,5,19
2017-12-03,24,8,32,13,5,12
2017-12-10,33,9,32,12,4,15
2017-12-17,34,14,33,13,2,17
2017-12-24,20,13,55,13,7,22
2017-12-31,21,13,44,11,7,29
2018-01-07,30,13,47,10,9,27
2018-01-14,25,12,74,12,3,40
2018-01-21,32,12,64,12,8,34
2018-01-28,24,13,52,13,8,37
