date,madrid,barcellona,tenerife,bilbao,formentera,maiorca
2016-04-10,19,15,95,47,40,32
2016-04-17,9,10,63,22,46,40
2016-04-24,19,10,62,20,58,36
2016-05-01,27,7,66,31,58,47
2016-05-08,9,9,62,17,54,33
2016-05-15,6,9,53,15,68,43
2016-05-22,24,11,63,15,65,43
2016-05-29,13,9,57,20,64,43
2016-06-05,6,8,52,10,63,45
2016-06-12,5,7,61,19,66,42
2016-06-19,5,6,57,14,83,44
2016-06-26,6,7,49,11,67,47
2016-07-03,5,7,59,12,75,48
2016-07-10,5,7,64,17,79,51
2016-07-17,6,8,76,17,74,49
2016-07-24,7,8,75,16,99,64
2016-07-31,10,9,82,24,100,67
2016-08-07,10,9,81,33,98,54
2016-08-14,6,10,81,23,93,54
2016-08-21,7,8,81,25,60,44
2016-08-28,6,7,75,31,55,30
2016-09-04,6,7,69,18,48,23
2016-09-11,7,7,64,55,38,23
2016-09-18,8,7,58,24,27,18
2016-09-25,9,6,63,16,21,14
2016-10-02,6,7,65,13,22,10
2016-10-09,6,6,64,12,15,10
2016-10-16,6,8,63,14,15,10
2016-10-23,8,6,75,20,9,12
2016-10-30,7,9,67,21,8,10
2016-11-06,5,6,62,13,9,11
2016-11-13,7,5,52,13,9,100
2016-11-20,8,6,55,37,10,11
2016-11-27,12,10,60,16,15,11
2016-12-04,9,6,66,11,9,10
2016-12-11,14,6,55,16,8,10
2016-12-18,8,6,72,15,9,8
2016-12-25,9,7,68,14,10,10
2017-01-01,10,8,99,30,26,21
2017-01-08,8,7,100,33,23,16
2017-01-15,9,6,81,10,24,20
2017-01-22,10,6,75,14,27,24
2017-01-29,9,7,75,22,28,20
2017-02-05,11,8,81,13,32,28
2017-02-12,72,14,69,21,36,27
2017-02-19,11,8,70,22,30,32
2017-02-26,12,10,73,29,33,27
2017-03-05,69,41,71,20,33,26
2017-03-12,10,16,75,21,36,35
2017-03-19,7,14,72,15,31,29
2017-03-26,7,10,88,16,35,35
2017-04-02,8,14,57,25,32,33
2017-04-09,20,57,43,15,32,34
2017-04-16,33,57,66,15,42,33
2017-04-23,20,18,72,26,36,35
2017-04-30,34,9,55,15,42,36
2017-05-07,45,8,59,13,46,40
2017-05-14,12,9,48,12,51,36
2017-05-21,13,9,57,17,54,38
2017-05-28,51,9,56,19,60,41
2017-06-04,20,8,56,21,67,45
2017-06-11,8,8,58,20,67,49
2017-06-18,6,7,65,13,70,56
2017-06-25,6,6,64,14,68,61
2017-07-02,6,7,68,18,77,50
2017-07-09,7,7,71,13,77,59
2017-07-16,7,13,81,24,79,59
2017-07-23,9,14,91,18,77,60
2017-07-30,13,11,69,30,72,57
2017-08-06,15,11,80,24,96,73
2017-08-13,24,100,69,19,70,54
2017-08-20,13,18,76,29,55,45
2017-08-27,8,11,76,20,56,37
2017-09-03,8,8,61,19,39,27
2017-09-10,17,41,47,21,31,22
2017-09-17,10,8,54,21,21,16
2017-09-24,9,8,56,21,17,10
2017-10-01,8,11,61,22,19,9
2017-10-08,6,7,59,24,16,10
2017-10-15,8,6,46,26,9,7
2017-10-22,7,7,50,38,12,7
2017-10-29,11,7,55,19,6,5
2017-11-05,7,5,60,18,7,6
2017-11-12,7,6,52,13,10,16
2017-11-19,18,31,60,25,10,12
2017-11-26,7,7,61,25,11,7
2017-12-03,8,7,59,16,7,5
2017-12-10,10,5,56,20,8,6
2017-12-17,13,11,48,14,7,7
2017-12-24,7,7,80,24,15,13
2017-12-31,8,7,86,18,30,20
2018-01-07,10,8,81,22,31,22
2018-01-14,8,7,85,18,27,25
2018-01-21,9,7,78,17,25,23
2018-01-28,8,7,78,14,21,25
2018-02-04,8,8,64,21,20,27
2018-02-11,19,8,62,14,21,25
2018-02-18,10,13,71,50,24,29
2018-02-25,8,8,66,27,28,24
2018-03-04,21,9,57,27,22,23
2018-03-11,11,18,67,35,28,32
2018-03-18,10,11,54,21,34,31
2018-03-25,9,9,53,18,33,31
2018-04-01,44,38,54,18,32,34
2018-04-08,63,53,52,25,33,30
2018-04-15,10,9,40,27,36,39
2018-04-22,31,11,50,24,31,36
2018-04-29,31,9,53,18,38,34
2018-05-06,22,12,52,19,39,38
2018-05-13,14,8,50,16,43,34
2018-05-20,32,6,47,23,42,40
2018-05-27,16,6,46,17,46,40
2018-06-03,7,6,54,17,53,46
2018-06-10,7,7,51,16,70,50
2018-06-17,7,7,51,19,68,53
2018-06-24,6,7,51,16,65,49
2018-07-01,10,7,42,17,60,50
2018-07-08,13,7,56,16,55,46
2018-07-15,8,7,60,22,71,74
2018-07-22,8,8,57,24,67,59
2018-07-29,13,12,69,21,63,62
2018-08-05,34,12,69,39,67,72
2018-08-12,27,11,57,21,53,60
2018-08-19,9,9,64,27,49,45
2018-08-26,10,8,68,25,48,43
2018-09-02,8,9,59,16,44,30
2018-09-09,8,7,56,34,38,24
2018-09-16,20,9,46,21,23,25
2018-09-23,9,8,51,26,17,14
2018-09-30,11,9,45,29,21,13
2018-10-07,7,8,49,26,33,60
2018-10-14,8,8,55,20,11,13
2018-10-21,10,26,50,17,8,13
2018-10-28,18,14,52,24,9,7
2018-11-04,9,38,48,24,9,9
2018-11-11,7,7,50,12,10,14
2018-11-18,7,7,90,15,8,9
2018-11-25,21,8,42,15,6,12
2018-12-02,8,7,51,19,6,12
2018-12-09,9,15,48,19,9,9
2018-12-16,10,7,56,23,7,7
2018-12-23,7,7,72,15,10,9
2018-12-30,8,7,79,12,23,15
2019-01-06,8,8,79,35,25,25
2019-01-13,10,7,94,23,27,25
2019-01-20,8,10,79,21,25,22
2019-01-27,8,8,73,14,26,22
2019-02-03,14,10,61,19,22,23
2019-02-10,16,8,63,28,21,24
2019-02-17,27,12,62,25,26,22
2019-02-24,18,14,57,21,27,26
2019-03-03,30,9,61,25,22,31
2019-03-10,100,13,63,24,25,27
2019-03-17,9,8,71,20,28,33
2019-03-24,8,7,57,18,23,35
2019-03-31,10,8,57,24,24,34
2019-04-07,8,13,59,19,25,30
2019-04-14,8,13,42,22,31,28
2019-04-21,8,14,59,28,33,33
2019-04-28,8,25,46,20,32,39
2019-05-05,28,38,57,26,34,35
2019-05-12,12,9,48,21,36,37
2019-05-19,7,8,51,22,37,43
2019-05-26,7,6,37,17,39,37
2019-06-02,7,7,41,15,45,48
2019-06-09,7,6,49,17,49,49
2019-06-16,7,7,51,10,47,50
2019-06-23,7,7,52,22,58,49
2019-06-30,6,7,48,18,58,49
2019-07-07,7,7,44,21,56,47
2019-07-14,7,8,56,19,61,47
2019-07-21,11,9,69,24,55,60
2019-07-28,10,9,69,33,66,67
2019-08-04,14,18,72,100,68,69
2019-08-11,16,11,61,71,59,57
2019-08-18,8,8,70,42,55,51
2019-08-25,9,11,67,21,45,49
2019-09-01,8,8,55,22,38,35
2019-09-08,8,9,53,27,30,32
2019-09-15,36,9,51,15,21,21
2019-09-22,9,9,46,28,18,19
2019-09-29,11,39,47,23,17,16
2019-10-06,8,8,49,17,13,12
2019-10-13,7,11,46,17,12,18
2019-10-20,10,8,51,21,7,14
2019-10-27,8,7,48,22,5,14
2019-11-03,10,8,55,16,7,7
2019-11-10,7,6,59,20,5,15
2019-11-17,7,7,49,18,7,12
2019-11-24,17,9,53,17,8,12
2019-12-01,8,9,46,17,7,12
2019-12-08,7,22,45,21,8,16
2019-12-15,11,12,53,17,8,12
2019-12-22,8,8,66,31,8,12
2019-12-29,8,9,71,21,17,15
2020-01-05,10,10,72,15,19,18
2020-01-12,10,7,60,14,21,21
2020-01-19,7,9,55,22,27,30
2020-01-26,8,8,57,18,20,24
2020-02-02,7,8,47,36,19,24
2020-02-09,7,8,54,22,18,22
2020-02-16,13,11,41,37,18,21
2020-02-23,10,34,98,17,13,13
2020-03-01,11,11,53,26,12,12
2020-03-08,8,5,29,9,7,7
2020-03-15,4,3,24,12,4,7
2020-03-22,4,3,24,7,5,7
2020-03-29,3,3,18,6,5,5
2020-04-05,3,3,17,7,4,10
2020-04-12,3,3,16,5,8,9
2020-04-19,3,3,20,11,6,7
2020-04-26,3,3,16,6,8,6
2020-05-03,4,3,15,7,4,4
2020-05-10,3,3,18,11,7,6
2020-05-17,3,3,14,12,9,8
2020-05-24,3,3,15,7,11,7
2020-05-31,3,4,16,8,11,11
2020-06-07,3,4,17,10,9,15
2020-06-14,4,4,18,9,18,19
2020-06-21,5,5,29,22,19,18
2020-06-28,7,5,19,10,20,16
2020-07-05,6,5,25,20,26,19
2020-07-12,6,6,25,13,28,24
2020-07-19,4,5,25,7,23,12
2020-07-26,3,4,22,8,28,34
2020-08-02,9,26,29,9,32,20
2020-08-09,10,37,30,6,34,23
2020-08-16,5,7,29,8,21,16
2020-08-23,4,5,25,4,15,6
2020-08-30,3,5,22,9,7,7
2020-09-06,3,4,19,8,10,5
2020-09-13,3,5,21,10,7,7
2020-09-20,5,4,22,13,5,7
2020-09-27,7,5,19,14,6,8
2020-10-04,3,5,20,13,4,5
2020-10-11,3,4,19,6,3,4
2020-10-18,9,7,17,12,5,5
2020-10-25,7,24,14,6,2,7
2020-11-01,17,5,20,12,3,6
2020-11-08,4,3,15,9,5,7
2020-11-15,4,4,19,6,6,7
2020-11-22,14,5,13,11,4,6
2020-11-29,6,5,14,9,4,5
2020-12-06,8,25,17,7,4,4
2020-12-13,4,4,17,17,4,4
2020-12-20,4,3,19,8,6,6
2020-12-27,4,4,25,9,7,9
2021-01-03,6,4,29,25,8,7
2021-01-10,7,3,22,26,5,3
2021-01-17,7,5,22,51,5,9
2021-01-24,4,3,16,16,6,7
2021-01-31,4,4,17,23,7,5
2021-02-07,4,4,29,17,5,6
2021-02-14,5,14,25,8,6,4
2021-02-21,27,5,25,13,7,4
2021-02-28,4,5,20,13,3,4
2021-03-07,7,9,24,19,4,5
2021-03-14,18,4,36,12,8,9
2021-03-21,4,4,36,9,9,6
2021-03-28,4,4,39,11,12,15
2021-04-04,6,6,75,22,17,18
