date,madrid,barcelona,sevilla,tenerife,bilbao,donosti,playa,hotel,escapada,turismo,oferta,chollo
2016-04-10,82,42,74,62,65,42,28,60,38,64,78,18
2016-04-17,77,45,58,53,64,46,27,62,45,64,71,21
2016-04-24,76,42,56,55,58,43,31,64,39,69,76,24
2016-05-01,88,37,60,54,59,47,32,62,52,63,76,24
2016-05-08,74,42,66,55,61,46,32,67,54,69,78,26
2016-05-15,64,37,77,57,56,50,37,68,41,72,70,26
2016-05-22,78,41,66,52,57,47,40,69,34,66,76,31
2016-05-29,70,38,52,52,61,48,47,72,60,67,76,34
2016-06-05,62,36,52,54,60,48,51,78,63,68,83,43
2016-06-12,61,36,50,55,60,48,51,76,48,64,80,43
2016-06-19,62,33,50,54,61,56,63,80,72,78,76,47
2016-06-26,59,34,51,60,58,60,64,84,51,72,86,50
2016-07-03,59,38,53,63,60,96,80,95,65,87,86,53
2016-07-10,58,37,50,61,58,67,82,90,66,80,82,63
2016-07-17,58,37,51,63,67,70,87,98,76,85,92,68
2016-07-24,59,37,52,64,61,61,86,96,73,96,83,68
2016-07-31,54,38,50,64,59,58,92,98,75,96,93,75
2016-08-07,54,34,53,59,56,69,89,97,86,93,80,62
2016-08-14,51,37,57,61,63,70,75,83,62,86,73,47
2016-08-21,62,33,48,60,76,49,68,79,65,82,80,41
2016-08-28,59,37,55,57,76,56,55,77,59,72,91,33
2016-09-04,66,40,56,61,64,57,44,74,79,62,85,29
2016-09-11,73,42,57,59,67,59,29,67,57,69,74,23
2016-09-18,76,44,62,57,68,44,26,68,70,67,76,20
2016-09-25,66,40,56,52,64,44,21,59,57,61,74,22
2016-10-02,66,42,56,57,60,47,20,61,57,62,76,21
2016-10-09,68,39,57,54,58,52,19,57,60,57,73,17
2016-10-16,70,41,60,53,64,44,17,55,59,58,72,23
2016-10-23,73,36,60,56,61,46,16,55,69,55,79,26
2016-10-30,73,36,61,57,59,47,18,52,63,61,74,17
2016-11-06,62,35,62,52,55,45,16,49,60,53,72,18
2016-11-13,70,35,54,54,57,40,14,52,59,57,80,17
2016-11-20,69,37,59,52,56,44,13,50,52,50,95,16
2016-11-27,83,43,58,52,53,42,14,49,54,55,87,17
2016-12-04,75,36,57,53,58,44,15,47,54,59,70,17
2016-12-11,69,31,56,53,58,40,13,41,47,44,71,16
2016-12-18,59,33,45,49,57,40,13,36,44,35,66,12
2016-12-25,64,32,54,62,60,46,17,47,50,44,81,17
2017-01-01,70,36,64,56,68,43,17,47,71,47,78,15
2017-01-08,67,40,61,61,71,48,17,53,46,52,89,18
2017-01-15,74,36,62,56,56,45,20,55,55,56,77,15
2017-01-22,69,40,56,58,58,41,20,57,55,56,75,18
2017-01-29,68,39,58,58,63,43,20,56,62,57,74,19
2017-02-05,67,38,55,61,56,39,21,59,75,59,75,20
2017-02-12,76,37,58,63,59,46,21,62,49,62,72,19
2017-02-19,73,37,66,65,61,45,24,61,55,62,76,22
2017-02-26,80,42,60,57,60,41,22,58,50,61,72,25
2017-03-05,72,49,57,58,58,50,25,65,55,63,80,26
