date,madrid,barcelona,tenerife,bilbao,formentera,benidorm
2016-04-10,39,30,47,80,38,67
2016-04-17,29,32,35,48,49,61
2016-04-24,54,24,33,43,37,60
2016-05-01,65,21,37,36,49,69
2016-05-08,32,25,32,43,52,64
2016-05-15,19,23,36,35,66,63
2016-05-22,49,28,35,46,62,63
2016-05-29,28,26,41,34,60,58
2016-06-05,17,21,38,34,50,59
2016-06-12,17,20,40,36,48,61
2016-06-19,16,18,35,32,65,53
2016-06-26,16,19,35,38,70,53
2016-07-03,18,21,41,37,63,67
2016-07-10,17,21,41,30,61,62
2016-07-17,16,21,42,36,70,59
2016-07-24,21,26,42,43,77,61
2016-07-31,19,37,41,37,75,57
2016-08-07,21,24,41,40,63,57
2016-08-14,14,22,37,28,63,56
2016-08-21,21,20,39,48,71,58
2016-08-28,18,21,40,56,56,58
2016-09-04,17,21,40,28,55,67
2016-09-11,21,30,38,40,47,61
2016-09-18,23,25,35,40,43,57
2016-09-25,21,20,39,34,31,53
2016-10-02,17,19,54,33,23,52
2016-10-09,17,17,35,37,14,55
2016-10-16,19,29,35,35,20,49
2016-10-23,21,19,33,29,22,47
2016-10-30,19,25,30,34,17,42
2016-11-06,14,15,29,19,8,43
2016-11-13,17,14,29,29,19,40
2016-11-20,21,17,28,31,10,33
2016-11-27,30,24,29,28,27,29
2016-12-04,21,15,26,24,5,26
2016-12-11,18,13,29,31,8,31
2016-12-18,15,14,29,37,30,41
2016-12-25,13,14,43,26,18,46
2017-01-01,19,21,54,61,23,69
2017-01-08,21,22,55,59,28,71
2017-01-15,26,21,54,31,28,93
2017-01-22,20,19,46,28,36,78
2017-01-29,19,22,48,38,30,70
2017-02-05,22,22,45,37,33,67
2017-02-12,27,28,42,38,31,66
2017-02-19,21,21,40,37,33,68
2017-02-26,29,26,43,41,17,96
2017-03-05,25,45,43,49,27,93
2017-03-12,28,25,42,43,33,89
2017-03-19,21,24,41,33,36,79
2017-03-26,19,20,43,35,29,82
2017-04-02,27,27,38,44,40,86
